"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","12.3","50.8","0.4","2.0","22.0","0.0","0.1","14.7"
"Demond Claiborne","MIN","21.6","96.1","0.7","3.3","25.2","0.1","0.0","20.0"
"","high","29.0","133.0","1.0","4.5","29.4","0.2","0.0","15.5"
"","low","14.2","59.3","0.4","2.0","21.0","0.0","0.1","15.3"
"Devin Singletary","NYG","22.2","88.9","0.6","4.2","26.3","0.1","0.1","19.8"
"","high","22.2","88.9","0.6","4.2","26.3","0.1","0.1","19.8"
"","low","22.2","88.9","0.6","4.2","26.3","0.1","0.1","19.8"
"Nicholas Singleton","TEN","20.3","83.7","0.6","4.3","30.2","0.2","0.1","19.7"
"","high","20.3","83.7","0.6","4.3","30.2","0.2","0.1","19.8"
"","low","20.3","83.7","0.6","4.3","30.2","0.2","0.1","19.8"
"Devin Neal","NO","22.5","90.0","1.0","2.5","17.5","0.0","0.0","19.3"
"","high","45.0","180.0","2.0","5.0","35.0","0.0","0.0","25.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Tahj Brooks","CIN","30.3","128.4","0.9","0.0","0.0","0.0","0.1","18.2"
"","high","30.3","128.4","0.9","0.0","0.0","0.0","0.1","18.4"
"","low","30.3","128.4","0.9","0.0","0.0","0.0","0.1","18.4"
"Michael Burton","CLE","6.6","13.9","0.6","5.1","33.3","0.6","0.0","16.5"
"","high","9.0","17.7","1.0","6.0","40.0","1.0","0.0","18.1"
"","low","4.3","10.0","0.1","4.2","26.5","0.2","0.0","11.0"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.7","0.2","0.1","16.4"
"","high","2.1","8.6","0.1","7.9","58.7","0.2","0.1","16.4"
"","low","2.1","8.6","0.1","7.9","58.7","0.2","0.1","16.4"
"Isaac Guerendo","SF","16.5","80.0","0.5","2.0","18.5","0.0","0.0","14.9"
"","high","33.0","160.0","1.0","4.0","37.0","0.0","0.0","16.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.1"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.8","1.1","0.0","14.8"
"","high","1.0","8.0","0.0","5.0","35.0","2.0","0.0","17.6"
"","low","0.0","0.0","0.0","4.2","28.6","0.2","0.0","8.8"
"Trevor Etienne","CAR","12.3","52.4","0.3","4.1","29.3","0.1","0.1","14.8"
