"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Caleb Douglas","MIA","39.6","511.4","2.6","1.0","5.5","0.0","0.7","105.4"
"","high","44.3","589.8","3.0","2.0","11.0","0.0","0.5","111.0"
"","low","35.0","433.0","2.2","0.0","0.0","0.0","1.0","90.6"
"Antonio Williams","WAS","35.5","497.2","3.1","3.5","18.7","0.1","1.2","104.2"
"","high","45.0","650.0","4.0","4.1","22.4","0.2","0.3","111.5"
"","low","25.9","344.5","2.3","3.0","15.0","0.0","2.0","87.4"
"Troy Franklin","DEN","36.5","403.2","3.9","3.0","10.8","0.0","0.6","100.3"
"","high","56.0","590.0","6.0","4.0","11.0","0.1","0.2","120.5"
"","low","17.0","216.4","1.8","2.1","10.6","0.0","1.0","70.3"
"Darius Slayton","NYG","35.7","526.1","2.0","1.6","8.6","0.0","0.7","100.1"
"","high","40.0","613.0","2.0","2.2","12.2","0.1","0.4","98.7"
"","low","31.5","439.2","2.0","1.0","5.0","0.0","1.0","92.9"
"Chris Bell","MIA","35.4","445.9","2.6","1.0","5.5","0.0","0.6","94.8"
"","high","47.0","582.0","4.0","2.0","11.0","0.0","0.2","107.4"
"","low","23.8","309.8","1.2","0.0","0.0","0.0","1.0","73.0"
"Tory Horton","SEA","30.3","401.5","4.2","0.5","3.0","0.0","0.6","94.5"
"","high","39.0","504.0","6.0","1.0","6.0","0.0","0.2","105.3"
"","low","21.6","299.0","2.3","0.0","0.0","0.0","1.0","74.2"
"Xavier Legette","CAR","35.9","417.6","2.6","2.1","10.8","0.1","0.4","93.8"
"","high","35.9","417.6","2.6","2.1","10.8","0.1","0.4","94.1"
"","low","35.9","417.6","2.6","2.1","10.8","0.1","0.4","94.1"
"Omar Cooper Jr.","NYJ","34.6","410.8","2.9","2.1","12.5","0.1","0.6","93.1"
"","high","44.0","521.0","4.0","2.2","13.0","0.1","0.3","100.6"
"","low","25.2","300.7","1.7","2.0","12.0","0.0","1.0","76.7"
"Tyquan Thornton","KC","25.4","467.7","3.5","0.0","0.0","0.0","0.1","92.9"
"","high","27.0","576.0","4.0","0.0","0.0","0.0","0.0","98.4"
"","low","23.8","359.3","3.0","0.0","0.0","0.0","0.2","79.1"
"Jahan Dotson","ATL","35.2","443.3","2.3","0.0","0.0","0.0","0.3","92.5"
"","high","35.2","443.3","2.3","0.0","0.0","0.0","0.3","92.8"
"","low","35.2","443.3","2.3","0.0","0.0","0.0","0.3","92.8"
"Christian Kirk","SF","34.5","406.4","2.6","0.0","0.0","0.0","0.1","90.4"
"","high","56.0","637.0","4.0","0.0","0.0","0.0","0.0","113.5"
"","low","13.1","175.7","1.1","0.0","0.0","0.0","0.1","58.7"
"Tre' Harris","LAC","34.5","410.5","2.5","0.0","0.0","0.0","0.4","89.8"
"","high","34.5","410.5","2.5","0.0","0.0","0.0","0.4","89.9"
"","low","34.5","410.5","2.5","0.0","0.0","0.0","0.4","89.9"
"Ryan Flournoy","DAL","33.8","383.0","2.7","2.2","12.4","0.1","0.4","89.2"
"","high","33.8","383.0","2.7","2.2","12.4","0.1","0.4","89.3"
"","low","33.8","383.0","2.7","2.2","12.4","0.1","0.4","89.3"
"Jalen Tolbert","MIA","33.9","420.3","1.7","0.0","0.0","0.0","0.3","85.4"
"","high","33.9","420.3","1.7","0.0","0.0","0.0","0.3","85.6"
"","low","33.9","420.3","1.7","0.0","0.0","0.0","0.3","85.6"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","85.1"
"","high","27.0","404.0","5.0","0.0","0.0","0.0","0.0","87.4"
"","low","23.8","300.7","3.2","0.0","0.0","0.0","0.2","74.5"
"Malik Benson","LV","33.7","401.2","1.9","1.0","4.0","0.0","0.6","84.4"
"","high","48.0","558.0","3.0","2.0","8.0","0.0","0.2","96.7"
"","low","19.4","244.4","0.8","0.0","0.0","0.0","1.0","62.6"
"Ted Hurst III","TB","29.4","389.9","2.6","1.0","6.5","0.0","0.6","83.2"
"","high","36.0","485.0","3.0","2.0","13.0","0.0","0.2","84.4"
"","low","22.8","294.7","2.1","0.0","0.0","0.0","1.0","71.6"
"Hollywood Brown","PHI","28.2","349.4","3.0","0.0","0.0","0.0","0.1","81.1"
"","high","44.0","545.0","5.0","0.0","0.0","0.0","0.0","105.2"
"","low","12.4","153.8","1.0","0.0","0.0","0.0","0.1","49.5"
"Zachariah Branch","ATL","31.4","381.7","1.9","0.0","0.0","0.0","0.3","80.3"
"","high","31.4","381.7","1.9","0.0","0.0","0.0","0.3","82.5"
"","low","31.4","381.7","1.9","0.0","0.0","0.0","0.3","82.5"
"Andrei Iosivas","CIN","27.8","352.4","2.6","2.5","11.0","0.0","0.1","79.5"
"","high","35.0","470.0","3.0","3.0","11.1","0.1","0.0","83.8"
"","low","20.5","234.8","2.1","2.0","11.0","0.0","0.2","65.4"
"Elic Ayomanor","TEN","25.4","342.8","3.3","0.0","0.0","0.0","0.0","79.5"
"","high","42.0","570.0","6.0","0.0","0.0","0.0","0.0","110.4"
"","low","8.8","115.6","0.6","0.0","0.0","0.0","0.1","40.5"
"Chimere Dike","TEN","27.8","271.6","3.4","10.1","33.7","0.3","0.6","79.2"
"","high","45.0","431.0","6.0","10.2","50.3","0.6","0.2","97.8"
"","low","10.6","112.2","0.8","10.0","17.0","0.0","1.0","56.6"
"Keon Coleman","BUF","24.4","337.7","2.8","0.0","0.0","0.0","0.2","74.6"
"","high","24.4","337.7","2.8","0.0","0.0","0.0","0.2","75.4"
"","low","24.4","337.7","2.8","0.0","0.0","0.0","0.2","75.4"
"Jaylin Noel","HOU","28.7","323.0","1.8","4.2","22.2","0.1","0.3","74.4"
"","high","28.7","323.0","1.8","4.2","22.2","0.1","0.3","76.4"
"","low","28.7","323.0","1.8","4.2","22.2","0.1","0.3","76.4"
"Pat Bryant","DEN","28.4","320.5","2.1","0.0","0.0","0.0","0.3","72.6"
"","high","28.4","320.5","2.1","0.0","0.0","0.0","0.3","72.8"
"","low","28.4","320.5","2.1","0.0","0.0","0.0","0.3","72.8"
"Joshua Palmer","BUF","25.9","342.2","1.6","0.0","0.0","0.0","0.1","69.7"
"","high","35.0","479.0","2.0","0.0","0.0","0.0","0.0","76.9"
"","low","16.9","205.4","1.2","0.0","0.0","0.0","0.2","53.8"
"Olamide Zaccheaus","ATL","30.1","276.7","1.8","1.5","9.5","0.0","0.1","69.5"
"","high","46.0","411.0","3.0","3.0","19.0","0.0","0.0","82.1"
"","low","14.3","142.3","0.6","0.0","0.0","0.0","0.2","48.2"
"Marvin Mims Jr.","DEN","24.1","273.1","1.6","8.2","45.2","0.3","0.4","66.8"
"","high","24.1","273.1","1.6","8.2","45.2","0.3","0.4","69.9"
"","low","24.1","273.1","1.6","8.2","45.2","0.3","0.4","69.9"
"Jack Bech","LV","27.7","315.0","1.2","0.0","0.0","0.0","0.3","65.8"
"","high","27.7","315.0","1.2","0.0","0.0","0.0","0.3","66.0"
"","low","27.7","315.0","1.2","0.0","0.0","0.0","0.3","66.0"
"Ashton Dulin","IND","17.5","338.3","1.3","5.1","46.1","0.1","0.1","64.1"
"","high","25.0","551.0","2.0","6.0","66.0","0.2","0.0","78.5"
"","low","10.0","125.5","0.6","4.2","26.3","0.0","0.1","37.4"
