player,team,position,player_key,projected_points,source_high_points,source_low_points,modeled_floor,modeled_ceiling,projection_range,position_rank,overall_projection_rank,fantasypros_points,modeled_average_fg_distance,historical_made_kicks,kicker_distance_source,expected_pa_bucket_points,fantasypros_roster_rank,fantasypros_position_rank,fantasypros_listed_points,fantasypros_injury_status,fantasypros_roster_pool,projected_starter_pool,projected_starter_role,starter_context_market_rank,custom_minus_fantasypros_listed_points
Tyrell Shavers,BUF,WR,tyrellshavers,11.01,11.01,11.01,11.01,11.01,0.0,154,501,10.9,,,,0.0,,,,,False,False,,,
Derius Davis,LAC,WR,deriusdavis,10.61,10.61,10.61,10.61,10.61,0.0,155,505,10.3,,,,0.0,,,,,False,False,,,
Mitch Tinsley,CIN,WR,mitchtinsley,9.88,9.88,9.88,9.88,9.88,0.0,156,512,9.7,,,,0.0,,,,,False,False,,,
Xavier Smith,LAR,WR,xaviersmith,9.84,9.84,9.84,9.84,9.84,0.0,157,513,9.9,,,,0.0,,,,,False,False,,,
CJ Daniels,LAR,WR,cjdaniels,9.48,9.48,9.48,9.48,9.48,0.0,158,517,9.6,,,,0.0,,,,,False,False,,,
Malachi Corley,CLE,WR,malachicorley,9.35,9.35,9.35,9.35,9.35,0.0,159,520,9.1,,,,0.0,,,,,False,False,,,
Darius Cooper,PHI,WR,dariuscooper,8.87,8.87,8.87,8.87,8.87,0.0,160,524,8.5,,,,0.0,,,,,False,False,,,
Jonathan Mingo,DAL,WR,jonathanmingo,8.76,8.76,8.76,8.76,8.76,0.0,161,525,8.4,,,,0.0,,,,,False,False,,,
Tai Felton,MIN,WR,taifelton,8.61,8.61,8.61,8.61,8.61,0.0,162,528,8.8,,,,0.0,,,,,False,False,,,
Justin Watson,HOU,WR,justinwatson,8.46,8.46,8.46,8.46,8.46,0.0,163,529,8.6,,,,0.0,,,,,False,False,,,
Brycen Tremayne,CAR,WR,brycentremayne,8.11,8.11,8.11,8.11,8.11,0.0,164,533,7.8,,,,0.0,,,,,False,False,,,
Reggie Virgil,ARI,WR,reggievirgil,7.93,7.93,7.93,7.93,7.93,0.0,165,534,8.1,,,,0.0,,,,,False,False,,,
Ben Skowronek,PIT,WR,benskowronek,4.1,4.1,4.1,4.1,4.1,0.0,166,542,3.9,,,,0.0,,,,,False,False,,,
Jalen Reagor,MIA,WR,jalenreagor,3.77,3.77,3.77,3.77,3.77,0.0,167,543,3.4,,,,0.0,,,,,False,False,,,
Arian Smith,NYJ,WR,ariansmith,3.57,3.57,3.57,3.57,3.57,0.0,168,544,3.5,,,,0.0,,,,,False,False,,,
Kameron Johnson,TB,WR,kameronjohnson,1.81,1.81,1.81,1.81,1.81,0.0,169,546,1.8,,,,0.0,,,,,False,False,,,
Kaden Wetjen,PIT,WR,kadenwetjen,1.77,1.77,1.77,1.77,1.77,0.0,170,547,1.6,,,,0.0,,,,,False,False,,,
Anthony Gould,IND,WR,anthonygould,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Braxton Berrios,NYG,WR,braxtonberrios,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
Britain Covey,PHI,WR,britaincovey,0.0,0.0,0.0,0.0,0.0,0.0,171,548,0.0,,,,0.0,,,,,False,False,,,
